probability	['probability']
important~often~statistics	['important~statistics~often']
used	['used']
often~used	['often~used']
often~statistics~used	['statistics~often~used']
natural	['natural']
natural~used	['used~natural']
natural~often~used	['often~used~natural']
social	['social']
natural~social	['natural~social']
natural~social~used	['used~natural~social']
sciences	['sciences']
sciences~social	['social~sciences']
natural~sciences~social	['natural~social~sciences']
bayes	['bayes']
theorem	['theorem']
bayes~theorem	['bayes~theorem']
describes	['describes']
describes~theorem	['theorem~describes']
bayes~describes~theorem	['bayes~theorem~describes']
describes~probability	['describes~probability']
describes~probability~theorem	['theorem~describes~probability']
describes~event~probability	['describes~probability~event']
based	['based']
based~event	['event~based']
based~event~probability	['probability~event~based']
prior	['prior']
based~prior	['based~prior']
based~event~prior	['event~based~prior']
knowledge	['knowledge']
knowledge~prior	['prior~knowledge']
based~knowledge~prior	['based~prior~knowledge']
conditions	['conditions']
conditions~knowledge	['knowledge~conditions']
conditions~knowledge~prior	['prior~knowledge~conditions']
conditions~that	['conditions~that']
conditions~knowledge~that	['knowledge~conditions~that']
might	['might']
might~that	['that~might']
conditions~might~that	['conditions~that~might']
related	['related']
might~related	['might~related']
might~related~that	['that~might~related']
event~related	['related~event']
event~might~related	['might~related~event']
event~it	['event~it']
event~it~related	['related~event~it']
fundamental	['fundamental']
fundamental~it	['it~fundamental']
event~fundamental~it	['event~it~fundamental']
bayesian	['bayesian']
bayesian~fundamental	['fundamental~bayesian']
bayesian~fundamental~it	['it~fundamental~bayesian']
bayesian~statistics	['bayesian~statistics']
bayesian~fundamental~statistics	['fundamental~bayesian~statistics']
interdisciplinary	['interdisciplinary']
interdisciplinary~science	['science~interdisciplinary']
data~interdisciplinary~science	['data~science~interdisciplinary']
field	['field']
field~interdisciplinary	['interdisciplinary~field']
field~interdisciplinary~science	['science~interdisciplinary~field']
field~that	['field~that']
field~interdisciplinary~that	['interdisciplinary~field~that']
that~uses	['that~uses']
field~that~uses	['field~that~uses']
scientific	['scientific']
scientific~uses	['uses~scientific']
scientific~that~uses	['that~uses~scientific']
methods	['methods']
methods~scientific	['scientific~methods']
methods~scientific~uses	['uses~scientific~methods']
processes	['processes']
methods~processes	['methods~processes']
methods~processes~scientific	['scientific~methods~processes']
algorithms	['algorithms']
algorithms~processes	['processes~algorithms']
algorithms~methods~processes	['methods~processes~algorithms']
systems	['systems']
algorithms~systems	['algorithms~systems']
algorithms~processes~systems	['processes~algorithms~systems']
extract	['extract']
extract~systems	['systems~extract']
algorithms~extract~systems	['algorithms~systems~extract']
extract~knowledge	['extract~knowledge']
extract~knowledge~systems	['systems~extract~knowledge']
insights	['insights']
insights~knowledge	['knowledge~insights']
extract~insights~knowledge	['extract~knowledge~insights']
structured	['structured']
insights~structured	['insights~structured']
insights~knowledge~structured	['knowledge~insights~structured']
unstructured	['unstructured']
structured~unstructured	['structured~unstructured']
insights~structured~unstructured	['insights~structured~unstructured']
data~unstructured	['unstructured~data']
data~structured~unstructured	['structured~unstructured~data']
data~it	['data~it']
data~it~unstructured	['unstructured~data~it']
employs	['employs']
employs~it	['it~employs']
data~employs~it	['data~it~employs']
techniques	['techniques']
employs~techniques	['employs~techniques']
employs~it~techniques	['it~employs~techniques']
statistics~techniques	['techniques~statistics']
employs~statistics~techniques	['employs~techniques~statistics']
computer	['computer']
computer~statistics	['statistics~computer']
computer~statistics~techniques	['techniques~statistics~computer']
computer~science	['computer~science']
computer~science~statistics	['statistics~computer~science']
information	['information']
information~science	['science~information', 'information~science']
computer~information~science	['computer~science~information']
information~science~science	['science~information~science']
