probability	{'Mathematics': 3, 'Statistics': 1, 'Probability': 1}
statistics~discipline	{'Mathematics': 1}
discipline~that	{'Mathematics': 1}
statistics~discipline~that	{'Mathematics': 1}
concerns	{'Mathematics': 1}
that~concerns	{'Mathematics': 1}
discipline~that~concerns	{'Mathematics': 1}
collection	{'Mathematics': 1}
concerns~collection	{'Mathematics': 1}
that~concerns~collection	{'Mathematics': 1}
organization	{'Mathematics': 1}
collection~organization	{'Mathematics': 1}
concerns~collection~organization	{'Mathematics': 1}
analysis	{'Mathematics': 2}
organization~analysis	{'Mathematics': 1}
collection~organization~analysis	{'Mathematics': 1}
interpretation	{'Mathematics': 1}
analysis~interpretation	{'Mathematics': 1}
organization~analysis~interpretation	{'Mathematics': 1}
presentation	{'Mathematics': 1}
interpretation~presentation	{'Mathematics': 1}
analysis~interpretation~presentation	{'Mathematics': 1}
data	{'Mathematics': 2, 'Computer Science': 2}
presentation~data	{'Mathematics': 1}
interpretation~presentation~data	{'Mathematics': 1}
statistical	{'Mathematics': 1}
data~statistical	{'Mathematics': 1}
presentation~data~statistical	{'Mathematics': 1}
statistical~analysis	{'Mathematics': 1}
data~statistical~analysis	{'Mathematics': 1}
often	{'Mathematics': 1, 'Statistics': 1}
analysis~often	{'Mathematics': 1}
statistical~analysis~often	{'Mathematics': 1}
uses	{'Mathematics': 1, 'Computer Science': 1}
often~uses	{'Mathematics': 1}
analysis~often~uses	{'Mathematics': 1}
uses~probability	{'Mathematics': 1}
often~uses~probability	{'Mathematics': 1}
theory	{'Mathematics': 1}
probability~theory	{'Mathematics': 1}
uses~probability~theory	{'Mathematics': 1}
essential	{'Mathematics': 1}
theory~essential	{'Mathematics': 1}
probability~theory~essential	{'Mathematics': 1}
essential~data	{'Mathematics': 1}
theory~essential~data	{'Mathematics': 1}
science	{'Mathematics': 1, 'Computer Science': 3}
data~science	{'Mathematics': 1, 'Computer Science': 1}
essential~data~science	{'Mathematics': 1}
normal	{'Statistics': 2}
distribution	{'Statistics': 4}
normal~distribution	{'Statistics': 2}
continuous	{'Statistics': 1}
distribution~continuous	{'Statistics': 1}
normal~distribution~continuous	{'Statistics': 1}
continuous~probability	{'Statistics': 1}
distribution~continuous~probability	{'Statistics': 1}
probability~distribution	{'Statistics': 1}
continuous~probability~distribution	{'Statistics': 1}
distribution~it	{'Statistics': 1}
probability~distribution~it	{'Statistics': 1}
also	{'Statistics': 1}
it~also	{'Statistics': 1}
distribution~it~also	{'Statistics': 1}
called	{'Statistics': 1}
also~called	{'Statistics': 1}
it~also~called	{'Statistics': 1}
gaussian	{'Statistics': 1}
called~gaussian	{'Statistics': 1}
also~called~gaussian	{'Statistics': 1}
gaussian~distribution	{'Statistics': 1}
called~gaussian~distribution	{'Statistics': 1}
distribution~normal	{'Statistics': 1}
gaussian~distribution~normal	{'Statistics': 1}
distribution~normal~distribution	{'Statistics': 1}
important	{'Statistics': 1}
distribution~important	{'Statistics': 1}
normal~distribution~important	{'Statistics': 1}
important~statistics	{'Statistics': 1}
distribution~important~statistics	{'Statistics': 1}
statistics~often	{'Statistics': 1}
important~statistics~often	{'Statistics': 1}
used	{'Statistics': 1}
often~used	{'Statistics': 1}
statistics~often~used	{'Statistics': 1}
natural	{'Statistics': 1}
used~natural	{'Statistics': 1}
often~used~natural	{'Statistics': 1}
social	{'Statistics': 1}
natural~social	{'Statistics': 1}
used~natural~social	{'Statistics': 1}
sciences	{'Statistics': 1}
social~sciences	{'Statistics': 1}
natural~social~sciences	{'Statistics': 1}
bayes	{'Probability': 1}
theorem	{'Probability': 1}
bayes~theorem	{'Probability': 1}
describes	{'Probability': 1}
theorem~describes	{'Probability': 1}
bayes~theorem~describes	{'Probability': 1}
describes~probability	{'Probability': 1}
theorem~describes~probability	{'Probability': 1}
describes~probability~event	{'Probability': 1}
based	{'Probability': 1}
event~based	{'Probability': 1}
probability~event~based	{'Probability': 1}
prior	{'Probability': 1}
based~prior	{'Probability': 1}
event~based~prior	{'Probability': 1}
knowledge	{'Probability': 1, 'Computer Science': 1}
prior~knowledge	{'Probability': 1}
based~prior~knowledge	{'Probability': 1}
conditions	{'Probability': 1}
knowledge~conditions	{'Probability': 1}
prior~knowledge~conditions	{'Probability': 1}
conditions~that	{'Probability': 1}
knowledge~conditions~that	{'Probability': 1}
might	{'Probability': 1}
that~might	{'Probability': 1}
conditions~that~might	{'Probability': 1}
related	{'Probability': 1}
might~related	{'Probability': 1}
that~might~related	{'Probability': 1}
related~event	{'Probability': 1}
might~related~event	{'Probability': 1}
event~it	{'Probability': 1}
related~event~it	{'Probability': 1}
fundamental	{'Probability': 1}
it~fundamental	{'Probability': 1}
event~it~fundamental	{'Probability': 1}
bayesian	{'Probability': 1}
fundamental~bayesian	{'Probability': 1}
it~fundamental~bayesian	{'Probability': 1}
bayesian~statistics	{'Probability': 1}
fundamental~bayesian~statistics	{'Probability': 1}
interdisciplinary	{'Computer Science': 1}
science~interdisciplinary	{'Computer Science': 1}
data~science~interdisciplinary	{'Computer Science': 1}
field	{'Computer Science': 1}
interdisciplinary~field	{'Computer Science': 1}
science~interdisciplinary~field	{'Computer Science': 1}
field~that	{'Computer Science': 1}
interdisciplinary~field~that	{'Computer Science': 1}
that~uses	{'Computer Science': 1}
field~that~uses	{'Computer Science': 1}
scientific	{'Computer Science': 1}
uses~scientific	{'Computer Science': 1}
that~uses~scientific	{'Computer Science': 1}
methods	{'Computer Science': 1}
scientific~methods	{'Computer Science': 1}
uses~scientific~methods	{'Computer Science': 1}
processes	{'Computer Science': 1}
methods~processes	{'Computer Science': 1}
scientific~methods~processes	{'Computer Science': 1}
algorithms	{'Computer Science': 1}
processes~algorithms	{'Computer Science': 1}
methods~processes~algorithms	{'Computer Science': 1}
systems	{'Computer Science': 1}
algorithms~systems	{'Computer Science': 1}
processes~algorithms~systems	{'Computer Science': 1}
extract	{'Computer Science': 1}
systems~extract	{'Computer Science': 1}
algorithms~systems~extract	{'Computer Science': 1}
extract~knowledge	{'Computer Science': 1}
systems~extract~knowledge	{'Computer Science': 1}
insights	{'Computer Science': 1}
knowledge~insights	{'Computer Science': 1}
extract~knowledge~insights	{'Computer Science': 1}
structured	{'Computer Science': 1}
insights~structured	{'Computer Science': 1}
knowledge~insights~structured	{'Computer Science': 1}
unstructured	{'Computer Science': 1}
structured~unstructured	{'Computer Science': 1}
insights~structured~unstructured	{'Computer Science': 1}
unstructured~data	{'Computer Science': 1}
structured~unstructured~data	{'Computer Science': 1}
data~it	{'Computer Science': 1}
unstructured~data~it	{'Computer Science': 1}
employs	{'Computer Science': 1}
it~employs	{'Computer Science': 1}
data~it~employs	{'Computer Science': 1}
techniques	{'Computer Science': 1}
employs~techniques	{'Computer Science': 1}
it~employs~techniques	{'Computer Science': 1}
techniques~statistics	{'Computer Science': 1}
employs~techniques~statistics	{'Computer Science': 1}
computer	{'Computer Science': 1}
statistics~computer	{'Computer Science': 1}
techniques~statistics~computer	{'Computer Science': 1}
computer~science	{'Computer Science': 1}
statistics~computer~science	{'Computer Science': 1}
information	{'Computer Science': 1}
science~information	{'Computer Science': 1}
computer~science~information	{'Computer Science': 1}
information~science	{'Computer Science': 1}
science~information~science	{'Computer Science': 1}
