probability	{'0': 2, '1': 1, '2': 1, '3': 1}
statistics	{'1': 1, '2': 1, '3': 1, '4': 1}
discipline	{'1': 1}
statistics~discipline	{'1': 1}
discipline~that	{'1': 1}
statistics~discipline~that	{'1': 1}
concerns	{'1': 1}
that~concerns	{'1': 1}
discipline~that~concerns	{'1': 1}
collection	{'1': 1}
concerns~collection	{'1': 1}
that~concerns~collection	{'1': 1}
organization	{'1': 1}
collection~organization	{'1': 1}
concerns~collection~organization	{'1': 1}
analysis	{'1': 2}
organization~analysis	{'1': 1}
collection~organization~analysis	{'1': 1}
interpretation	{'1': 1}
analysis~interpretation	{'1': 1}
organization~analysis~interpretation	{'1': 1}
presentation	{'1': 1}
interpretation~presentation	{'1': 1}
analysis~interpretation~presentation	{'1': 1}
data	{'1': 2, '4': 2}
presentation~data	{'1': 1}
interpretation~presentation~data	{'1': 1}
statistical	{'1': 1}
data~statistical	{'1': 1}
presentation~data~statistical	{'1': 1}
statistical~analysis	{'1': 1}
data~statistical~analysis	{'1': 1}
often	{'1': 1, '2': 1}
analysis~often	{'1': 1}
statistical~analysis~often	{'1': 1}
uses	{'1': 1, '4': 1}
often~uses	{'1': 1}
analysis~often~uses	{'1': 1}
uses~probability	{'1': 1}
often~uses~probability	{'1': 1}
theory	{'1': 1}
probability~theory	{'1': 1}
uses~probability~theory	{'1': 1}
essential	{'1': 1}
theory~essential	{'1': 1}
probability~theory~essential	{'1': 1}
essential~data	{'1': 1}
theory~essential~data	{'1': 1}
science	{'1': 1, '4': 3}
data~science	{'1': 1, '4': 1}
essential~data~science	{'1': 1}
normal	{'2': 2}
distribution	{'2': 4}
normal~distribution	{'2': 2}
continuous	{'2': 1}
distribution~continuous	{'2': 1}
normal~distribution~continuous	{'2': 1}
continuous~probability	{'2': 1}
distribution~continuous~probability	{'2': 1}
probability~distribution	{'2': 1}
continuous~probability~distribution	{'2': 1}
distribution~it	{'2': 1}
probability~distribution~it	{'2': 1}
also	{'2': 1}
it~also	{'2': 1}
distribution~it~also	{'2': 1}
called	{'2': 1}
also~called	{'2': 1}
it~also~called	{'2': 1}
gaussian	{'2': 1}
called~gaussian	{'2': 1}
also~called~gaussian	{'2': 1}
gaussian~distribution	{'2': 1}
called~gaussian~distribution	{'2': 1}
distribution~normal	{'2': 1}
gaussian~distribution~normal	{'2': 1}
distribution~normal~distribution	{'2': 1}
important	{'2': 1}
distribution~important	{'2': 1}
normal~distribution~important	{'2': 1}
important~statistics	{'2': 1}
distribution~important~statistics	{'2': 1}
statistics~often	{'2': 1}
important~statistics~often	{'2': 1}
used	{'2': 1}
often~used	{'2': 1}
statistics~often~used	{'2': 1}
natural	{'2': 1}
used~natural	{'2': 1}
often~used~natural	{'2': 1}
social	{'2': 1}
natural~social	{'2': 1}
used~natural~social	{'2': 1}
sciences	{'2': 1}
social~sciences	{'2': 1}
natural~social~sciences	{'2': 1}
bayes	{'3': 1}
theorem	{'3': 1}
bayes~theorem	{'3': 1}
describes	{'3': 1}
theorem~describes	{'3': 1}
bayes~theorem~describes	{'3': 1}
describes~probability	{'3': 1}
theorem~describes~probability	{'3': 1}
describes~probability~event	{'3': 1}
based	{'3': 1}
event~based	{'3': 1}
probability~event~based	{'3': 1}
prior	{'3': 1}
based~prior	{'3': 1}
event~based~prior	{'3': 1}
knowledge	{'3': 1, '4': 1}
prior~knowledge	{'3': 1}
based~prior~knowledge	{'3': 1}
conditions	{'3': 1}
knowledge~conditions	{'3': 1}
prior~knowledge~conditions	{'3': 1}
conditions~that	{'3': 1}
knowledge~conditions~that	{'3': 1}
might	{'3': 1}
that~might	{'3': 1}
conditions~that~might	{'3': 1}
related	{'3': 1}
might~related	{'3': 1}
that~might~related	{'3': 1}
related~event	{'3': 1}
might~related~event	{'3': 1}
event~it	{'3': 1}
related~event~it	{'3': 1}
fundamental	{'3': 1}
it~fundamental	{'3': 1}
event~it~fundamental	{'3': 1}
bayesian	{'3': 1}
fundamental~bayesian	{'3': 1}
it~fundamental~bayesian	{'3': 1}
bayesian~statistics	{'3': 1}
fundamental~bayesian~statistics	{'3': 1}
interdisciplinary	{'4': 1}
science~interdisciplinary	{'4': 1}
data~science~interdisciplinary	{'4': 1}
field	{'4': 1}
interdisciplinary~field	{'4': 1}
science~interdisciplinary~field	{'4': 1}
field~that	{'4': 1}
interdisciplinary~field~that	{'4': 1}
that~uses	{'4': 1}
field~that~uses	{'4': 1}
scientific	{'4': 1}
uses~scientific	{'4': 1}
that~uses~scientific	{'4': 1}
methods	{'4': 1}
scientific~methods	{'4': 1}
uses~scientific~methods	{'4': 1}
processes	{'4': 1}
methods~processes	{'4': 1}
scientific~methods~processes	{'4': 1}
algorithms	{'4': 1}
processes~algorithms	{'4': 1}
methods~processes~algorithms	{'4': 1}
systems	{'4': 1}
algorithms~systems	{'4': 1}
processes~algorithms~systems	{'4': 1}
extract	{'4': 1}
systems~extract	{'4': 1}
algorithms~systems~extract	{'4': 1}
extract~knowledge	{'4': 1}
systems~extract~knowledge	{'4': 1}
insights	{'4': 1}
knowledge~insights	{'4': 1}
extract~knowledge~insights	{'4': 1}
structured	{'4': 1}
insights~structured	{'4': 1}
knowledge~insights~structured	{'4': 1}
unstructured	{'4': 1}
structured~unstructured	{'4': 1}
insights~structured~unstructured	{'4': 1}
unstructured~data	{'4': 1}
structured~unstructured~data	{'4': 1}
data~it	{'4': 1}
unstructured~data~it	{'4': 1}
employs	{'4': 1}
it~employs	{'4': 1}
data~it~employs	{'4': 1}
techniques	{'4': 1}
employs~techniques	{'4': 1}
it~employs~techniques	{'4': 1}
techniques~statistics	{'4': 1}
employs~techniques~statistics	{'4': 1}
computer	{'4': 1}
statistics~computer	{'4': 1}
techniques~statistics~computer	{'4': 1}
computer~science	{'4': 1}
statistics~computer~science	{'4': 1}
information	{'4': 1}
science~information	{'4': 1}
computer~science~information	{'4': 1}
information~science	{'4': 1}
science~information~science	{'4': 1}
