investor	('investor', 'investors')
effect	('effecting', 'effect', 'effective', 'effectively', 'effectiveness', 'effects', 'effected')
science-bas	('science-based',)
environment	('environmental', 'environmentally')
target	('targets', 'target', 'targeted', 'targeting')
2026	('2026',)
100%	('100%',)
renew	('renewable',)
electr	('electricity', 'electric', 'electrical')
oper	('operations', 'operating', 'operation', 'operational', 'operates', 'operate', 'operated', 'operative')
2025	('2025',)
annual	('annually', 'annual', 'annualized')
thereaft	('thereafter',)
forward-look	('forward-looking',)
other	('other', 'others')
go	('go', 'going')
beyond	('beyond',)
fact	('facts', 'fact')
made	('made',)
subject	('subject', 'subjects', 'subjective', 'subjectivity')
risk	('risks', 'risk')
uncertainti	('uncertainties', 'uncertainty')
may	('may',)
caus	('cause', 'causes', 'caused', 'causing')
actual	('actual', 'actually')
result	('results', 'resulting', 'result', 'resulted')
differ	('differ', 'different', 'difference', 'differing', 'differences', 'differs')
materi	('materially', 'material', 'materials', 'materialize', 'materializing')
import	('important', 'importance', 'import', 'imports')
factor	('factors', 'factor')
could	('could',)
econom	('economic', 'economics')
condit	('conditions', 'condition', 'conditioned')
relianc	('reliance',)
parti	('parties', 'party', 'partys')
assembl	('assemble', 'assembly', 'assembled')
packag	('package', 'packaging', 'packaged')
test	('test', 'testing', 'tested', 'tests')
develop	('development', 'develop', 'developers', 'developing', 'developed', 'developments', 'developer')
competit	('competition', 'competitive', 'competitiveness')
enhanc	('enhancements', 'enhances', 'enhanced', 'enhance', 'enhancement')
exist	('existing', 'exists', 'exist')
accept	('acceptance', 'accepted', 'accept', 'acceptability', 'acceptable')
partner	('partners', 'partnered', 'partner', 'partnering')
defect	('defects', 'defect')
chang	('changes', 'change', 'changed', 'chang', 'changs', 'changing')
consum	('consumer', 'consumers', 'consumed', 'consuming')
prefer	('preferences', 'preference', 'preferred', 'prefer')
standard	('standards', 'standardization', 'standardize', 'standard')
interfac	('interfaces',)
unexpect	('unexpected',)
loss	('loss', 'losses')
when	('when',)
integr	('integrated', 'integrate', 'integration', 'integrity', 'integral', 'integrating', 'integrations')
current	('current', 'currently')
project	('projections', 'projects', 'project', 'projected')
futur	('future',)
event	('events', 'event')
trend	('trends', 'trend')
believ	('believes', 'believe', 'believed')
affect	('affect', 'affected', 'affects', 'affecting')
strategi	('strategy', 'strategies')
short-term	('short-term',)
long-term	('long-term',)
object	('objectives', 'objective', 'objectively', 'objectivity', 'objects')
reli	('rely', 'relies')
upon	('upon',)
predict	('predictions', 'prediction', 'predictive', 'predict', 'predicting')
discuss	('discussed', 'discussion', 'discussions', 'discuss', 'discusses', 'discussing')
occur	('occur', 'occurs', 'occurred', 'occurring')
advers	('adversely', 'adverse')
those	('those',)
anticip	('anticipated', 'anticipate', 'anticipation', 'anticipates', 'anticipating')
impli	('implied',)
although	('although',)
reflect	('reflected', 'reflect', 'reflecting', 'reflects', 'reflections')
reason	('reasonable', 'reason', 'reasons', 'reasonably', 'reasonableness')
compani	('company', 'companys', 'companies')
cannot	('cannot',)
guarante	('guarantee', 'guarantees', 'guaranteed')
level	('levels', 'level')
activ	('activity', 'activities', 'active')
achiev	('achievements', 'achieves', 'achieve', 'achievement', 'achieving', 'achieved')
circumst	('circumstances',)
requir	('required', 'requires', 'requirements', 'require', 'requirement', 'requiring')
disclaim	('disclaims',)
oblig	('obligation', 'obligations', 'obligate')
complet	('complete', 'completed', 'completing', 'completion', 'completely', 'completeness')
pleas	('please',)
refer	('refer', 'reference', 'referred', 'refers', 'references')
report	('reports', 'report', 'reporting', 'reporter', 'reporters', 'reported', 'reportable')
file	('file', 'files', 'filed', 'filings', 'filing')
sec	('sec', 'secs')
recent	('recent', 'recently')
form	('form', 'formed', 'forms', 'forming')
10-k	('10-k',)
quarterli	('quarterly',)
10-q	('10-q',)
8-k	('8-k',)
copi	('copies', 'copy')
post	('posted', 'post')
websit	('website', 'websites')
without	('without',)
charg	('charge', 'charges', 'charged')
mani	('many',)
describ	('described', 'describe', 'describes')
remain	('remain', 'remains', 'remained', 'remaining')
stage	('stages',)
offer	('offered', 'offering', 'offerings', 'offer', 'offers')
when-and-if-avail	('when-and-if-available',)
basi	('basis',)
intend	('intended', 'intend', 'intends')
interpret	('interpreted', 'interpretation', 'interpret', 'interpretations')
commit	('commitment', 'committed', 'commitments')
promis	('promise', 'promising')
legal	('legal', 'legally')
releas	('release', 'releases', 'released')
function	('functionalities', 'functions', 'functional', 'function', 'functionally', 'functionality', 'functioning')
sole	('sole', 'solely')
discret	('discretion', 'discrete')
have	('have', 'having')
no	('no', 'nos')
liabil	('liability', 'liabilities')
failur	('failure', 'failures')
deliv	('deliver', 'delivers', 'delivering', 'delivered')
delay	('delay', 'delays', 'delayed')
deliveri	('delivery', 'deliveries')
set	('set', 'sets', 'setting', 'settings')
forth	('forth',)
use	('uses', 'useful')
non-gaap	('non-gaap',)
measur	('measures', 'measured', 'measuring', 'measure', 'measurement')
gross	('gross',)
profit	('profit', 'profitable', 'profits', 'profitability')
margin	('margin', 'margins', 'marginal')
expens	('expenses', 'expense', 'expensive', 'expensed')
incom	('income', 'incoming')
non-	('non-',)
gaap	('gaap',)
net	('net',)
dilut	('diluted', 'dilution', 'dilutive')
earn	('earnings', 'earn', 'earned')
per	('per',)
share	('share', 'shares', 'shared', 'sharing')
free	('free',)
cash	('cash',)
flow	('flow', 'flows')
understand	('understanding', 'understand', 'understands', 'understandings')
meant	('meant',)
isol	('isolation',)
substitut	('substitute', 'substituted', 'substitution', 'substitutes')
prepar	('prepared', 'preparing', 'preparation', 'prepares', 'prepare')
accord	('accordance', 'according')
further	('further',)
relev	('relevant',)
reconcili	('reconciliations', 'reconciliation')
compar	('comparable', 'compared', 'comparably', 'compare', 'compares', 'comparing')
found	('found', 'founded', 'founding')
slide	('slide',)
titl	('titled', 'title', 'titles')
content	('content', 'contents')
•	('•',)
summari	('summary',)
key	('key', 'keys')
announc	('announcements', 'announced', 'announcement', 'announce')
overview	('overview',)
highlight	('highlights',)
total	('total', 'totaled', 'totaling')
revenu	('revenue', 'revenues')
up	('up',)
101%	('101%',)
y	('y',)
$13	('$13',)
51b	('51b',)
abov	('above',)
$11	('$11',)
00b	('00b',)
+	('+',)
2%	('2%',)
171%	('171%',)
$10	('$10',)
32b	('32b',)
22%	('22%',)
$2	('$2',)
49b	('49b',)
record	('record', 'records', 'recorded', 'recording')
tremend	('tremendous',)
platform	('platforms', 'platform')
internet	('internet',)
invest	('investments', 'invested', 'investment', 'invest', 'investing')
purpose-built	('purpose-built',)
alreadi	('already',)
signific	('significant', 'significance')
drive	('driving', 'drive', 'drives')
strong	('strong',)
consumpt	('consumption',)
nvidia-pow	('nvidia-powered',)
instanc	('instances', 'instance')
well	('well', 'wells')
on-prem	('on-prem',)
fuel	('fueled', 'fueling', 'fuel')
geforc	('geforce',)
40	('40',)
seri	('series',)
laptop	('laptops', 'laptop')
end-custom	('end-customer',)
wa	('was',)
solid	('solid',)
consist	('consistent', 'consists', 'consisting', 'consisted', 'consistently', 'consist', 'consistency')
back-to-school	('back-to-school',)
led	('led',)
4060	('4060',)
launch	('launched', 'launch')
ti	('ti',)
ada	('ada', 'adas')
lovelac	('lovelace',)
down	('down',)
price	('price', 'prices', 'pricing', 'priced')
point	('points', 'point')
low	('low', 'lowes')
$299	('$299',)
dollar	('dollar', 'dollars')
figur	('figures',)
million	('millions', 'million')
than	('than',)
ep	('eps',)
appendix	('appendix',)
q	('q',)
507	('507',)
+101%	('+101%',)
+88%	('+88%',)
70	('70',)
1%	('1%',)
+26	('+26',)
6	('6',)
pt	('pts',)
+5	('+5',)
5	('5',)
71	('71',)
+25	('+25',)
3	('3',)
+4	('+4',)
4	('4',)
$6	('$6',)
800	('800',)
+1	('+1',)
263%	('263%',)
+218%	('+218%',)
$7	('$7',)
776	('776',)
+487%	('+487%',)
+155%	('+155%',)
188	('188',)
+843%	('+843%',)
+203%	('+203%',)
740	('740',)
+422%	('+422%',)
+148%	('+148%',)
48	('48',)
+854%	('+854%',)
+202%	('+202%',)
+429%	('+429%',)
op	('ops',)
348	('348',)
+400%	('+400%',)
+118%	('+118%',)
704	('704',)
$5	('$5',)
931	('931',)
051	('051',)
192	('192',)
45	('45',)
9%	('9%',)
56	('56',)
66	('66',)
8%	('8%',)
0%	('0%',)
50	('50',)
55	('55',)
60	('60',)
65	('65',)
75	('75',)
80	('80',)
85	('85',)
90	('90',)
1	('1',)
500	('500',)
7	('7',)
9	('9',)
11	('11',)
13	('13',)
15	('15',)
fy23	('fy23',)
q3	('q3',)
q4	('q4',)
q1	('q1',)
$m	('$m',)
gm	('gm',)
nearli	('nearly',)
tripl	('tripled',)
year-on-year	('year-on-year',)
primarili	('primarily',)
aw	('aws',)
googl	('google',)
meta	('meta',)
microsoft	('microsoft', 'microsofts')
azur	('azure',)
oracl	('oracle',)
network	('networking', 'network', 'networks')
almost	('almost',)
doubl	('doubled',)
end-to-end	('end-to-end',)
infiniband	('infiniband',)
bluefield-3	('bluefield-3',)
dpu	('dpu', 'dpus')
qualif	('qualification', 'qualifications')
major	('major', 'majority')
oem	('oems', 'oem')
multipl	('multiple', 'multiples')
$3	('$3',)
806	('806',)
833	('833',)
616	('616',)
$4	('$4',)
284	('284',)
323	('323',)
141%	('141%',)
just	('just',)
47%	('47%',)
instal	('installed', 'installments')
3060	('3060',)
higher	('higher',)
gpu-pow	('gpu-powered',)
gain	('gained', 'gains', 'gain', 'gainful')
popular	('popularity', 'popular')
shipment	('shipments', 'shipment')
now	('now',)
outpac	('outpace',)
sever	('several', 'severance', 'severe')
region	('regions', 'regional', 'region')
around	('around',)
like	('likely', 'like')
bit	('bit',)
stronger	('stronger',)
holiday	('holiday', 'holidays')
build	('build', 'building', 'builds', 'buildings')
schedul	('schedules', 'schedule', 'scheduled')
35	('35',)
ad	('added', 'adding')
support	('support', 'supported', 'supporting', 'supports', 'supportive')
diablo	('diablo',)
iv	('iv',)
baldur	('baldurs',)
gate	('gate',)
there	('there',)
over	('over',)
330	('330',)
app	('apps',)
avatar	('avatar', 'avatars')
engin	('engine', 'engineers', 'engineering', 'engineer')
ace	('ace',)
042	('042',)
$1	('$1',)
574	('574',)
831	('831',)
240	('240',)
486	('486',)
11%	('11%',)
$496	('$496',)
$200	('$200',)
$226	('$226',)
$295	('$295',)
$379	('$379',)
drove	('drove',)
roll	('rolling',)
out	('out',)
initi	('initially', 'initial', 'initiative', 'initiatives', 'initiated', 'initiate')
come	('coming', 'comes', 'come')
power	('powerful', 'powering', 'powered', 'power', 'powers')
6000	('6000',)
configur	('configured', 'configurations', 'configurators', 'configuring', 'configuration')
three	('three',)
5000	('5000',)
4500	('4500',)
4000	('4000',)
workload	('workloads', 'workload')
gen	('gen',)
llm	('llm', 'llms')
scienc	('science', 'sciences')
pro	('pro',)
viz	('viz',)
28%	('28%',)
24%	('24%',)
$220	('$220',)
$251	('$251',)
$294	('$294',)
$296	('$296',)
$253	('$253',)
self-driv	('self-driving',)
orin	('orin',)
soc	('soc', 'socs')
energi	('energy',)
vehicl	('vehicle', 'vehicles')
maker	('makers', 'maker')
declin	('decline', 'declines', 'declined')
lower	('lower',)
particularli	('particularly',)
china	('china', 'chinas')
xpeng	('xpeng',)
g6	('g6',)
coup	('coupe',)
suv	('suvs',)
intellig	('intelligent', 'intelligence')
assist	('assistance', 'assistants', 'assistant', 'assisting', 'assist', 'assists')
line	('line',)
chiplet	('chiplets', 'chiplet')
15%	('15%',)
sourc	('sources', 'source', 'sourcing')
270	('270',)
$392	('$392',)
249	('249',)
911	('911',)
were	('were',)
both	('both',)
4b	('4b',)
sharehold	('shareholders', 'shareholder')
repurchas	('repurchased', 'repurchases', 'repurchase')
$300m	('$300m',)
capex	('capex',)
princip	('principal',)
payment	('payments', 'payment')
pp&e	('pp&e',)
$16	('$16',)
0b	('0b',)
$9	('$9',)
8b	('8b',)
debt	('debt',)
2b	('2b',)
addit	('additional', 'addition', 'additionally', 'additions')
$25b	('$25b',)
stock	('stock',)
author	('authorized', 'authority', 'authorizes', 'authorizing', 'authorities', 'authorizations', 'authorization')
$4b	('$4b',)
defin	('defined', 'define')
equival	('equivalents', 'equivalent')
secur	('securities', 'securely', 'security', 'secure')
less	('less',)
400%	('400%',)
118%	('118%',)
0	('0',)
billion	('billion', 'billions')
plu	('plus',)
minu	('minus',)
5%	('5%',)
72	('72',)
approxim	('approximately', 'approximating', 'approximate', 'approximates')
95	('95',)
00	('00',)
$100	('$100',)
exclud	('excluding', 'exclude', 'excludes', 'excluded')
non-affili	('non-affiliated', 'non-affiliates')
14	('14',)
item	('items', 'item')
grace	('grace',)
superchip	('superchips', 'superchip')
gh200	('gh200',)
combin	('combines', 'combination', 'combined', 'combining', 'combinations', 'combine')
first	('first',)
arm-bas	('arm-based',)
cpu	('cpu', 'cpus')
h100	('h100',)
nvlink-c2c	('nvlink-c2c',)
interconnect	('interconnect', 'interconnects')
900gb	('900gb',)
s	('s',)
7x	('7x',)
faster	('faster',)
pcie	('pcie',)
gen5	('gen5',)
cpu+gpu	('cpu+gpu',)
coher	('coherent',)
access	('access', 'accessible', 'accessing', 'accessed')
600gb	('600gb',)
memori	('memory',)
ideal	('ideal',)
giant	('giant',)
hpc	('hpc',)
deep	('deep',)
recommend	('recommenders', 'recommender', 'recommendation', 'recommendations', 'recommending', 'recommend', 'recommends', 'recommended')
vector	('vector',)
databas	('databases', 'database')
order-of-magnitud	('order-of-magnitude',)
x86	('x86',)
9x	('9x',)
12x	('12x',)
infer	('inference',)
284x	('284x',)
65b	('65b',)
paramet	('parameter', 'parameters')
lead	('leading', 'lead', 'leads')
server	('server', 'servers')
softbank	('softbank',)
5g	('5g',)
6g	('6g',)
dgx	('dgx',)
supercomput	('supercomputer', 'supercomputers', 'supercomputing')
extend	('extends', 'extended', 'extend', 'extending')
frontier	('frontier', 'frontiers')
class	('class', 'classes')
large-memori	('large-memory',)
256	('256',)
nvlink	('nvlink',)
switch	('switch', 'switches')
massiv	('massive', 'massively')
space	('space',)
exaflop	('exaflop',)
144tb	('144tb',)
next-gen	('next-gen',)
languag	('language', 'languages')
model	('models', 'model', 'modeling')
analyt	('analytics',)
work	('work', 'working', 'worked', 'works')
togeth	('together',)
among	('among',)
calendar	('calendar',)
hbm3e	('hbm3e',)
two	('two',)
connect	('connected', 'connects', 'connect', 'connections', 'connection', 'connectivity', 'connecting')
compris	('comprises', 'comprising', 'comprised', 'comprise')
singl	('single',)
144	('144',)
arm	('arm',)
neovers	('neoverse',)
core	('cores', 'core')
eight	('eight',)
petaflop	('petaflops',)
282	('282',)
gigabyt	('gigabytes', 'gigabyte')
5x	('5x',)
capac	('capacity', 'capacities')
3x	('3x',)
bandwidth	('bandwidth',)
predecessor	('predecessor',)
built	('built',)
complex	('complex', 'complexity')
l40	('l40s', 'l40')
univers	('universal', 'universe', 'universities', 'university', 'universitys')
processor	('processor', 'processors')
compute-intens	('compute-intensive',)
train	('training', 'train', 'trained')
3d	('3d', '3ds')
video	('video', 'videos')
process	('processing', 'process', 'processed', 'processes')
broad	('broad',)
rang	('range', 'ranging', 'ranges')
ovx	('ovx',)
ai-readi	('ai-ready',)
bluefield	('bluefield',)
begin	('beginning', 'begin')
mgx	('mgx',)
scalabl	('scalable', 'scalability')
open	('open', 'opens', 'opened', 'opening')
quickli	('quickly',)
cost-effect	('cost-effectively', 'cost-effective')
100	('100', '100s')
variat	('variations',)
address	('address', 'addressed', 'addressing', 'addresses')
divers	('diverse', 'diversity', 'diversion')
slash	('slashes',)
three-quart	('three-quarters',)
reduc	('reduces', 'reducing', 'reduced', 'reduce')
two-third	('two-thirds',)
six	('six',)
month	('months', 'month')
virtual	('virtually', 'virtual')
segment	('segment', 'segments')
$1t	('$1t',)
asrock	('asrock',)
rack	('rack', 'racks')
asu	('asus',)
pegatron	('pegatron',)
qct	('qct',)
supermicro	('supermicro',)
spectrum-x	('spectrum-x',)
ethernet	('ethernet',)
optim	('optimize', 'optimized', 'optimizing', 'optimization', 'optimizations')
effici	('efficiency', 'efficiently', 'efficient')
ethernet-bas	('ethernet-based',)
spectrum-4	('spectrum-4',)
linkx	('linkx',)
doca	('doca',)
programm	('programmability', 'programmable')
better	('better',)
vs	('vs',)
tradit	('traditional', 'traditionally')
ship	('shipping', 'ship', 'shipped')
custom	('custom', 'customize', 'customizing', 'customers', 'customized', 'customer', 'customization')
workbench	('workbench',)
unifi	('unified',)
easy-to-us	('easy-to-use',)
workspac	('workspace',)
allow	('allows', 'allow', 'allowed', 'allowing', 'allowances', 'allowance')
creat	('create', 'creating', 'created', 'creates')
pretrain	('pretrained',)
pc	('pc', 'pcs')
then	('then',)
them	('them',)
public	('public', 'publication')
latest	('latest',)
version	('version', 'versions')
nemo	('nemo',)
cloud-n	('cloud-native',)
framework	('framework', 'frameworks')
foundat	('foundation', 'foundational', 'foundations')
production-readi	('production-ready',)
hug	('hugging',)
face	('face', 'facing', 'faced')
give	('give', 'gives', 'giving')
one-click	('one-click',)
tune	('tune',)
vmware	('vmware',)
call	('called', 'calls', 'call')
privat	('private', 'privately')
fulli	('fully',)
multi-cloud	('multi-cloud',)
run	('running', 'run', 'runs')
manag	('management', 'managements', 'managing', 'managers', 'manage', 'managed', 'manages', 'manager')
such	('such',)
chatbot	('chatbots', 'chatbot')
search	('search',)
summar	('summarization', 'summarize', 'summarizes', 'summarized', 'summarizing')
enterprise-readi	('enterprise-ready',)
soon	('soon',)
dell	('dell',)
hpe	('hpe',)
lenovo	('lenovo',)
snowflak	('snowflake',)
team	('team', 'teams')
har	('harness', 'harnesses')
path	('path', 'paths')
own	('own', 'owned', 'owning', 'owns')
proprietari	('proprietary',)
gpu-acceler	('gpu-accelerated',)
make	('make', 'making', 'makes')
wpp	('wpp', 'wpps')
ai-en	('ai-enabled',)
advertis	('advertising',)
creativ	('creative',)
produc	('produce',)
high-qual	('high-quality',)
commerci	('commercial', 'commercially')
chain	('chain', 'chains')
tool	('tools', 'tool')
adob	('adobe',)
firefli	('firefly',)
famili	('family', 'families')
exclus	('exclusive', 'exclusively', 'exclusions', 'exclusion')
getti	('getty',)
imag	('images', 'image', 'imaging')
picasso	('picasso',)
foundri	('foundry', 'foundries', 'foundrys')
client	('clients',)
creation	('creation',)
builder	('builders',)
boxx	('boxx',)
hp	('hp',)
four	('four',)
828	('828',)
tflop	('tflops',)
192gb	('192gb',)
2x	('2x',)
rt	('rt',)
throughput	('throughput',)
versu	('versus',)
prior	('prior',)
fall	('fall',)
pixar	('pixar', 'pixars')
appl	('apple',)
autodesk	('autodesk',)
co-found	('co-founded',)
allianc	('alliance', 'alliances')
openusd	('openusd',)
aousd	('aousd',)
promot	('promote', 'promotions', 'promoting', 'promotes', 'promotion', 'promoted')
evolut	('evolution',)
scene	('scene', 'scenes')
descript	('description',)
capabl	('capabilities', 'capability', 'capable')
creator	('creators',)
compos	('compose', 'composed')
simul	('simulate', 'simulation', 'simulations', 'simulating', 'simulates')
large-scal	('large-scale',)
3d-enabl	('3d-enabled',)
greater	('greater',)
interoper	('interoperability',)
api	('apis',)
seamlessli	('seamlessly',)
implement	('implement', 'implemented', 'implementation', 'implementing', 'implements')
chatusd	('chatusd',)
copilot	('copilot',)
usd	('usd',)
answer	('answer', 'answers', 'answered', 'answering')
knowledg	('knowledge', 'knowledgeable')
question	('questions', 'question', 'questionable')
python-usd	('python-usd',)
code	('code', 'coding')
script	('scripts',)
runusd	('runusd',)
translat	('translates', 'translation', 'translating', 'translate')
path-trac	('path-traced',)
render	('rendered', 'renders', 'rendering', 'render')
deepsearch	('deepsearch',)
agent	('agent', 'agents')
fast	('fast',)
semant	('semantic',)
untag	('untagged',)
asset	('assets', 'asset')
usd-gdn	('usd-gdn',)
publish	('publisher', 'publishing', 'publish', 'published', 'publishers')
stream	('streaming', 'stream')
high-fidel	('high-fidelity',)
openusd-bas	('openusd-based',)
experi	('experiences', 'experience')
graphic	('graphics',)
transform	('transform', 'transformer', 'transformers', 'transforms', 'transformational', 'transformative', 'transformation', 'transforming')
automobil	('automobiles', 'automobile')
mainstream	('mainstream',)
ip	('ip',)
al	('al',)
safeti	('safety',)
ultra-fast	('ultra-fast',)
os	('os',)
ix	('ix',)
cuda	('cuda',)
tensorrt	('tensorrt',)
cover	('covers', 'covered', 'covering', 'cover')
wide	('wide', 'widely')
luxuri	('luxury',)
entry-level	('entry-level',)
pioneer	('pioneered',)
solv	('solve',)
challeng	('challenges', 'challenge', 'challenging')
classic	('classical',)
centuri	('century',)
lift	('lifts',)
off	('off', 'offs')
hundr	('hundred', 'hundreds')
74%	('74%',)
top500	('top500',)
boast	('boasts',)
headquart	('headquarters', 'headquartered', 'headquarter')
santa	('santa',)
clara	('clara',)
ca	('ca',)
superfast	('superfast',)
chip	('chip', 'chips')
full-stack	('full-stack',)
special	('specialized', 'special', 'specialize')
algorithm	('algorithms',)
librari	('libraries', 'library')
domain	('domain', 'domains')
expert	('experts', 'expert')
refactor	('refactor', 'refactoring')
part	('parts',)
approach	('approach', 'approaches')
silicon	('silicon',)
exampl	('example', 'examples')
if	('if',)
90%	('90%',)
runtim	('runtime',)
100x	('100x',)
sped	('sped',)
99%	('99%',)
50x	('50x',)
80%	('80%',)
500x	('500x',)
even	('even',)
1000x	('1000x',)
amdahl	('amdahls',)
proport	('proportion', 'proportions', 'proportional')
execut	('execution', 'executive', 'executives', 'execute', 'executed')
p	('p',)
\u0001d446=	('\\u0001d446=',)
\u2212\u0001d45d+	('\\u2212\\u0001d45d+',)
\u0001d45d	('\\u0001d45d',)
\u0001d460	('\\u0001d460',)
whi	('why',)
climat	('climate',)
drug	('drug', 'drugs')
discoveri	('discovery',)
ray	('ray',)
trace	('tracing',)
uniqu	('uniquely', 'unique')
dedic	('dedicated', 'dedicate')
top-to-bottom	('top-to-bottom',)
bottom-to-top	('bottom-to-top',)
invent	('inventing', 'invention', 'invents', 'inventions', 'invented')
tensor	('tensor',)
